Log10 PageRank	Title
-2.746	Geographic coordinate system
-2.794	International Standard Book Number
-2.872	United States
-3.140	Authority control
-3.151	Virtual International Authority File
-3.165	Digital object identifier
-3.261	United Kingdom
-3.309	Biological classification
-3.333	Internet Movie Database
-3.345	France
-3.351	Time zone
-3.359	Canada
-3.368	Germany
-3.382	International Standard Name Identifier
-3.442	Animal
-3.453	Australia
-3.456	World War II
-3.460	India
-3.469	Music genre
-3.488	Japan
-3.489	England
-3.492	Association football
-3.499	Record label
-3.499	Italy
-3.504	Integrated Authority File
-3.508	PubMed
-3.508	List of sovereign states
-3.509	Binomial nomenclature
-3.510	PubMed Identifier
-3.513	Library of Congress Control Number
-3.513	Russia
-3.524	Race and ethnicity in the United States Census
-3.526	Daylight saving time
-3.551	English language
-3.571	China
-3.574	Spain
-3.575	Poland
-3.623	International Standard Serial Number
-3.627	OCLC
-3.629	Latin
-3.635	The New York Times
-3.639	London
-3.658	New York City
-3.658	Brazil
-3.664	Sweden
-3.679	Netherlands
-3.698	Central European Time
-3.718	Arthropod
-3.721	Catholic Church
-3.721	French language
-3.727	World War I
-3.729	German language
-3.731	Insect
-3.735	Russian language
-3.735	Romania
-3.735	Public domain
-3.743	Europe
-3.744	Defamation
-3.746	California
-3.750	Switzerland
-3.755	Soviet Union
-3.755	New Zealand
-3.761	Mexico
-3.767	New York
-3.774	Scotland
-3.776	Norway
-3.781	Iran
-3.782	Record producer
-3.783	PubMed Central
-3.790	Belgium
-3.810	Washington, D.C.
-3.814	Paris
-3.828	Turkey
-3.835	South Africa
-3.835	Synonym (taxonomy)
-3.844	Greek language
-3.856	Argentina
-3.857	Denmark
-3.857	Album
-3.859	Portugal
-3.865	Austria
-3.870	Wikisource
-3.878	Arabic language
-3.882	Plant
-3.889	Israel
-3.891	Studio album
-3.891	Spanish language
-3.892	Village
-3.892	UTC+02:00
-3.893	Greece
-3.897	Types of business entity
-3.898	European Union
-3.899	Hangul
-3.900	UTC+2
-3.901	Philippines
-3.909	Los Angeles
-3.910	United States Census Bureau
-3.911	Finland
-3.913	Persian language
-3.915	Lepidoptera
-3.916	Genus
-3.919	AllMusic
-3.926	U.S. state
-3.926	International Organization for Standardization
-3.927	North America
-3.930	Chordate
-3.931	Hungary
-3.931	Library of Congress
